9859,7909
9289,7861.5
9689,7833
8884,7875.5
9092,7830
9131.5,7796
8864,7768
9573.5,7692
9668.5,7776
9818,7651.5
9906,7614
9377,7685
8310,7074
8339.5,7116
8397,7294
8509.5,7635
8483,7510
9658,7609
9640,7576
9627.5,7537
9753,7480
9784,7448.5
9817.5,7469
8350,7070
8379,7030
8428,7093
8523,7268.5
9541,6892.5
9545,6930.5
9691,7041
9809.5,7259
8443,7421.5
8500,7478.5
8495,7415
8547,7605
8536,7510
8542,7466.5
8552,7380
8559,7427
8597.5,7379
8576,7476
8594,7593
8622,7650.5
8650.5,7678.5
8689,7472
8847.5,7729
8734,7694.5
8882,7691
8732,7635
8791,7631
8719,7425
8727.5,7471
8778,7578
8903,7589.5
9042,7645.5
9159,7637
9193,7650.5
9213,7686
9085.5,7518
8921.5,7415
9051,7410
9088,7419
9110,7453
9153,7430
9082.5,7647
9075.5,7672.5
9025,7340
9166,7397
9166,7567
9206.5,7445
9272,7533
9358.5,7554
9507,7478.5
9350.5,7360
9527,7422
9529.5,7020
9639.5,7170
9357,7110.5
9360,7168
9250,7300
9404,7111.5
9506,7275
9435.5,7087
9609,7339
9654,7328
9584,7245.5
9449,7128
9488,7083
9537,7130
9584,7121
9605.5,7166.5
8977,7314.5
8989,7265.5
9073,7219
9160,7170.5
9196.5,7183
9152,7221
9191.5,7237
8682,7204
8672.5,7240
8733.5,7232.5
8707,7322
8757.5,7319
8844,7235
8900,7120
8910,7178.5
8946,7141
8521.5,7044
8562,7049
8576,7108
8599,7077
8532,7005.5
8561,6983
8722.5,7066
8019.5,6207
8040,6121
8106,6095
8108,6142.5
8093,6227
8125,6293
8146.5,6245
8370,5979.5
8195,6124
8184.5,6165
8257,6074
8416,6045
8471,6032
8233,6337
8292,6281
8242,6258
8221,6197
8231,6162
8283.5,6135
8409,6126
8649,6137
8616,6167.5
8607,6198
8326.5,6463
8335,6394.5
8377,6450
8494,6285.5
8546,6301.5
8434.5,6407
8459,6379.5
8494,6350
8449,6476
8464,6442
8458.5,6531
8479,6561
8485,6485
8542,6375.5
8520.5,6515
8536,6466
8548.5,6559
8598,6510
8597,6353.5
8713,6236
8783,6194
8776,6352
8760.5,6271
8815,6267.5
8880,6305
8895,6357
9006,6325.5
8460,6762.5
8473.5,6714
8512,6856
8802,6494
8550.5,6801
8558,6701.5
8561,6931
8597.5,6708
8895.5,6447
9093.5,6428
9164,6558
8938,6462
9005,6528
8894,6488
8621.5,6946
8623.5,6857.5
8621.5,6831
8600.5,6862.5
8673.5,6658
8659,6960.5
8675,6883
8692,6855
8699.5,6914
8724.5,6955.5
8738,6894
8738,7003.5
8705,6976.5
8767,6937
8740,6578.5
8750,6641
8788.5,6690
8837.5,6549
8867,6578.5
8906,6603.5
8927,6576
8812,6531
8875,6548
8971,6588
8987,6620
9023,6680.5
9055,6669
9100,6669.5
8781.5,7038
8893.5,6795
8782,6998.5
8817,7019
9005.5,6787
9035,6808
9025,6906.5
8903,6944.5
8853,6951.5
8955,6976
9019,6961.5
8842,6912
8954,6902
8968.5,6862
9075.5,6891
8882.5,6921
8997,6888.5
8946.5,6758.5
8965.5,6731.5
