136, 117, 141
159, 134, 185
134, 147, 146
175, 132, 141
133, 143, 161
183, 115, 149
158, 128, 110
199, 113, 104
157, 124, 124
181, 145, 154
222, 130, 149
180, 142, 168
198, 143, 110
156, 155, 129
197, 140, 124
131, 86, 166
107, 99, 127
148, 84, 122
106, 95, 141
130, 116, 172
171, 101, 166
129, 113, 186
147, 114, 127
104, 126, 147
145, 111, 142
154, 97, 135
195, 82, 130
153, 94, 149
170, 95, 91
128, 107, 110
169, 92, 105
194, 113, 135
151, 124, 155
192, 109, 149
168, 122, 110
151, 163, 125
175, 144, 89
198, 162, 133
174, 175, 94
215, 160, 89
172, 171, 108
124, 115, 106
147, 133, 151
122, 146, 112
163, 131, 106
121, 142, 126
171, 114, 114
146, 127, 75
187, 112, 70
145, 123, 89
169, 144, 119
210, 129, 114
168, 141, 134
186, 142, 75
144, 153, 95
185, 138, 89
111, 174, 105
135, 192, 150
110, 205, 111
151, 190, 106
109, 201, 125
158, 173, 113
134, 186, 74
175, 171, 69
133, 182, 88
157, 203, 119
198, 188, 113
156, 200, 133
174, 201, 74
131, 212, 94
172, 197, 89
107, 144, 131
83, 157, 92
124, 142, 86
81, 153, 106
106, 174, 136
147, 159, 131
105, 171, 150
122, 172, 92
80, 183, 111
121, 168, 106
130, 155, 99
171, 140, 94
128, 152, 114
146, 153, 55
104, 164, 75
145, 149, 69
169, 170, 100
127, 182, 119
168, 167, 114
144, 180, 75
138, 117, 135
161, 134, 179
137, 147, 140
178, 132, 135
136, 143, 154
185, 115, 142
161, 128, 103
202, 113, 98
159, 124, 118
184, 145, 148
225, 130, 143
183, 142, 162
200, 143, 104
158, 155, 123
199, 140, 118
134, 86, 160
109, 99, 121
150, 84, 116
108, 95, 135
133, 116, 165
174, 101, 160
131, 113, 180
149, 114, 121
107, 126, 141
148, 111, 135
156, 97, 129
197, 82, 123
155, 94, 143
173, 95, 84
131, 107, 104
172, 92, 99
196, 113, 129
154, 124, 148
195, 109, 143
170, 122, 104
122, 145, 159
97, 158, 120
138, 143, 115
96, 154, 134
120, 175, 165
161, 160, 159
119, 172, 179
137, 173, 120
95, 185, 140
136, 170, 135
144, 156, 128
185, 141, 123
143, 153, 142
161, 154, 84
118, 166, 103
159, 151, 98
184, 172, 128
142, 183, 148
183, 168, 142
158, 181, 103
93, 127, 145
134, 112, 140
92, 124, 160
109, 125, 101
67, 137, 121
108, 122, 115
133, 143, 146
90, 154, 165
131, 139, 160
107, 152, 121
156, 124, 109
114, 135, 128
155, 120, 123
131, 133, 84
154, 150, 129
170, 134, 133
189, 119, 104
207, 133, 139
188, 143, 108
220, 131, 104
187, 140, 119
148, 96, 118
166, 110, 153
147, 120, 122
179, 108, 118
146, 117, 133
185, 94, 124
166, 105, 93
198, 93, 88
165, 102, 104
184, 119, 128
217, 107, 124
183, 116, 140
197, 117, 93
164, 126, 108
196, 114, 104
138, 143, 117
156, 157, 153
137, 167, 121
170, 155, 117
136, 164, 133
175, 142, 123
156, 152, 92
189, 140, 88
155, 149, 103
174, 166, 128
207, 154, 123
173, 163, 139
188, 164, 92
154, 173, 108
187, 161, 104
134, 118, 137
115, 129, 106
148, 117, 102
114, 126, 117
133, 143, 142
166, 131, 137
132, 140, 153
147, 141, 106
113, 150, 122
146, 138, 118
152, 127, 112
185, 115, 108
151, 125, 124
166, 126, 77
132, 135, 92
165, 123, 88
184, 140, 112
150, 149, 128
183, 137, 124
164, 147, 93
159, 97, 140
178, 111, 176
158, 121, 145
191, 109, 141
157, 118, 156
197, 95, 147
177, 106, 115
210, 94, 111
176, 103, 127
196, 120, 151
229, 108, 147
